SK_Date,Proper_Date,Full_Name,Day_Number,Day_Name,Month_Number,Month_Name,Trimester_Number,Trimester_Name,Semester_Number,Semester_Name,Year
20170101,01/01/2017,01 January 2017,1,Sunday,1,January,1,Trimester 1,1,Semester 1,2017
20170102,02/01/2017,02 January 2017,2,Monday,1,January,1,Trimester 1,1,Semester 1,2017
20170103,03/01/2017,03 January 2017,3,Tuesday,1,January,1,Trimester 1,1,Semester 1,2017
20170104,04/01/2017,04 January 2017,4,Wednesday,1,January,1,Trimester 1,1,Semester 1,2017
20170105,05/01/2017,05 January 2017,5,Thursday,1,January,1,Trimester 1,1,Semester 1,2017
20170106,06/01/2017,06 January 2017,6,Friday,1,January,1,Trimester 1,1,Semester 1,2017
20170107,07/01/2017,07 January 2017,7,Saturday,1,January,1,Trimester 1,1,Semester 1,2017
20170108,08/01/2017,08 January 2017,8,Sunday,1,January,1,Trimester 1,1,Semester 1,2017
20170109,09/01/2017,09 January 2017,9,Monday,1,January,1,Trimester 1,1,Semester 1,2017
20170110,10/01/2017,10 January 2017,10,Tuesday,1,January,1,Trimester 1,1,Semester 1,2017
20170111,11/01/2017,11 January 2017,11,Wednesday,1,January,1,Trimester 1,1,Semester 1,2017
20170112,12/01/2017,12 January 2017,12,Thursday,1,January,1,Trimester 1,1,Semester 1,2017
20170113,13/01/2017,13 January 2017,13,Friday,1,January,1,Trimester 1,1,Semester 1,2017
20170114,14/01/2017,14 January 2017,14,Saturday,1,January,1,Trimester 1,1,Semester 1,2017
20170115,15/01/2017,15 January 2017,15,Sunday,1,January,1,Trimester 1,1,Semester 1,2017
20170116,16/01/2017,16 January 2017,16,Monday,1,January,1,Trimester 1,1,Semester 1,2017
20170117,17/01/2017,17 January 2017,17,Tuesday,1,January,1,Trimester 1,1,Semester 1,2017
20170118,18/01/2017,18 January 2017,18,Wednesday,1,January,1,Trimester 1,1,Semester 1,2017
20170119,19/01/2017,19 January 2017,19,Thursday,1,January,1,Trimester 1,1,Semester 1,2017
20170120,20/01/2017,20 January 2017,20,Friday,1,January,1,Trimester 1,1,Semester 1,2017
20170121,21/01/2017,21 January 2017,21,Saturday,1,January,1,Trimester 1,1,Semester 1,2017
20170122,22/01/2017,22 January 2017,22,Sunday,1,January,1,Trimester 1,1,Semester 1,2017
20170123,23/01/2017,23 January 2017,23,Monday,1,January,1,Trimester 1,1,Semester 1,2017
20170124,24/01/2017,24 January 2017,24,Tuesday,1,January,1,Trimester 1,1,Semester 1,2017
20170125,25/01/2017,25 January 2017,25,Wednesday,1,January,1,Trimester 1,1,Semester 1,2017
20170126,26/01/2017,26 January 2017,26,Thursday,1,January,1,Trimester 1,1,Semester 1,2017
20170127,27/01/2017,27 January 2017,27,Friday,1,January,1,Trimester 1,1,Semester 1,2017
20170128,28/01/2017,28 January 2017,28,Saturday,1,January,1,Trimester 1,1,Semester 1,2017
20170129,29/01/2017,29 January 2017,29,Sunday,1,January,1,Trimester 1,1,Semester 1,2017
20170130,30/01/2017,30 January 2017,30,Monday,1,January,1,Trimester 1,1,Semester 1,2017
20170131,31/01/2017,31 January 2017,31,Tuesday,1,January,1,Trimester 1,1,Semester 1,2017
20170201,01/02/2017,01 February 2017,1,Wednesday,2,February,1,Trimester 1,1,Semester 1,2017
20170202,02/02/2017,02 February 2017,2,Thursday,2,February,1,Trimester 1,1,Semester 1,2017
20170203,03/02/2017,03 February 2017,3,Friday,2,February,1,Trimester 1,1,Semester 1,2017
20170204,04/02/2017,04 February 2017,4,Saturday,2,February,1,Trimester 1,1,Semester 1,2017
20170205,05/02/2017,05 February 2017,5,Sunday,2,February,1,Trimester 1,1,Semester 1,2017
20170206,06/02/2017,06 February 2017,6,Monday,2,February,1,Trimester 1,1,Semester 1,2017
20170207,07/02/2017,07 February 2017,7,Tuesday,2,February,1,Trimester 1,1,Semester 1,2017
20170208,08/02/2017,08 February 2017,8,Wednesday,2,February,1,Trimester 1,1,Semester 1,2017
20170209,09/02/2017,09 February 2017,9,Thursday,2,February,1,Trimester 1,1,Semester 1,2017
20170210,10/02/2017,10 February 2017,10,Friday,2,February,1,Trimester 1,1,Semester 1,2017
20170211,11/02/2017,11 February 2017,11,Saturday,2,February,1,Trimester 1,1,Semester 1,2017
20170212,12/02/2017,12 February 2017,12,Sunday,2,February,1,Trimester 1,1,Semester 1,2017
20170213,13/02/2017,13 February 2017,13,Monday,2,February,1,Trimester 1,1,Semester 1,2017
20170214,14/02/2017,14 February 2017,14,Tuesday,2,February,1,Trimester 1,1,Semester 1,2017
20170215,15/02/2017,15 February 2017,15,Wednesday,2,February,1,Trimester 1,1,Semester 1,2017
20170216,16/02/2017,16 February 2017,16,Thursday,2,February,1,Trimester 1,1,Semester 1,2017
20170217,17/02/2017,17 February 2017,17,Friday,2,February,1,Trimester 1,1,Semester 1,2017
20170218,18/02/2017,18 February 2017,18,Saturday,2,February,1,Trimester 1,1,Semester 1,2017
20170219,19/02/2017,19 February 2017,19,Sunday,2,February,1,Trimester 1,1,Semester 1,2017
20170220,20/02/2017,20 February 2017,20,Monday,2,February,1,Trimester 1,1,Semester 1,2017
20170221,21/02/2017,21 February 2017,21,Tuesday,2,February,1,Trimester 1,1,Semester 1,2017
20170222,22/02/2017,22 February 2017,22,Wednesday,2,February,1,Trimester 1,1,Semester 1,2017
20170223,23/02/2017,23 February 2017,23,Thursday,2,February,1,Trimester 1,1,Semester 1,2017
20170224,24/02/2017,24 February 2017,24,Friday,2,February,1,Trimester 1,1,Semester 1,2017
20170225,25/02/2017,25 February 2017,25,Saturday,2,February,1,Trimester 1,1,Semester 1,2017
20170226,26/02/2017,26 February 2017,26,Sunday,2,February,1,Trimester 1,1,Semester 1,2017
20170227,27/02/2017,27 February 2017,27,Monday,2,February,1,Trimester 1,1,Semester 1,2017
20170228,28/02/2017,28 February 2017,28,Tuesday,2,February,1,Trimester 1,1,Semester 1,2017
20170301,01/03/2017,01 March 2017,1,Wednesday,3,March,1,Trimester 1,1,Semester 1,2017
20170302,02/03/2017,02 March 2017,2,Thursday,3,March,1,Trimester 1,1,Semester 1,2017
20170303,03/03/2017,03 March 2017,3,Friday,3,March,1,Trimester 1,1,Semester 1,2017
20170304,04/03/2017,04 March 2017,4,Saturday,3,March,1,Trimester 1,1,Semester 1,2017
20170305,05/03/2017,05 March 2017,5,Sunday,3,March,1,Trimester 1,1,Semester 1,2017
20170306,06/03/2017,06 March 2017,6,Monday,3,March,1,Trimester 1,1,Semester 1,2017
20170307,07/03/2017,07 March 2017,7,Tuesday,3,March,1,Trimester 1,1,Semester 1,2017
20170308,08/03/2017,08 March 2017,8,Wednesday,3,March,1,Trimester 1,1,Semester 1,2017
20170309,09/03/2017,09 March 2017,9,Thursday,3,March,1,Trimester 1,1,Semester 1,2017
20170310,10/03/2017,10 March 2017,10,Friday,3,March,1,Trimester 1,1,Semester 1,2017
20170311,11/03/2017,11 March 2017,11,Saturday,3,March,1,Trimester 1,1,Semester 1,2017
20170312,12/03/2017,12 March 2017,12,Sunday,3,March,1,Trimester 1,1,Semester 1,2017
20170313,13/03/2017,13 March 2017,13,Monday,3,March,1,Trimester 1,1,Semester 1,2017
20170314,14/03/2017,14 March 2017,14,Tuesday,3,March,1,Trimester 1,1,Semester 1,2017
20170315,15/03/2017,15 March 2017,15,Wednesday,3,March,1,Trimester 1,1,Semester 1,2017
20170316,16/03/2017,16 March 2017,16,Thursday,3,March,1,Trimester 1,1,Semester 1,2017
20170317,17/03/2017,17 March 2017,17,Friday,3,March,1,Trimester 1,1,Semester 1,2017
20170318,18/03/2017,18 March 2017,18,Saturday,3,March,1,Trimester 1,1,Semester 1,2017
20170319,19/03/2017,19 March 2017,19,Sunday,3,March,1,Trimester 1,1,Semester 1,2017
20170320,20/03/2017,20 March 2017,20,Monday,3,March,1,Trimester 1,1,Semester 1,2017
20170321,21/03/2017,21 March 2017,21,Tuesday,3,March,1,Trimester 1,1,Semester 1,2017
