Product ID,Category Code,Category Name,Sub-Category Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail
1,1031100,VODKA,AMERICAN VODKAS,37348,PHILLIPS VODKA,6,1750,7.6,11.4
2,1031100,VODKA,AMERICAN VODKAS,37936,SKOL VODKA,12,750,3.64,5.46
3,1081600,WHISKEY,WHISKEY LIQUEUR,64858,FIREBALL CINNAMON WHISKEY MINI DISPENSER,1,3000,30,45
4,1011600,WHISKEY,STRAIGHT RYE WHISKIES,27182,JACK DANIELS TENNESSEE RYE,12,1000,18.89,28.34
5,1012100,WHISKEY,CANADIAN WHISKIES,10805,CROWN ROYAL REGAL APPLE,24,375,8,12
6,1012100,WHISKEY,CANADIAN WHISKIES,11776,BLACK VELVET,12,750,5.23,7.85
7,1031100,VODKA,AMERICAN VODKAS,35913,FIVE O'CLOCK VODKA,48,200,1.13,1.7
8,1011100,WHISKEY,BLENDED WHISKIES,25608,SEAGRAMS 7 CROWN BL WHISKEY,6,1750,11.96,17.94
9,1082000,LIQUEURS,IMPORTED CORDIALS & LIQUEURS,64676,CHAMBORD LIQUEUR ROYALE DE FRANCE,12,750,19.08,28.62
10,1031200,VODKA,AMERICAN FLAVORED VODKA,40592,NEW AMSTERDAM PEACH,24,200,2.49,3.74
11,1031100,VODKA,AMERICAN VODKAS,36908,MCCORMICK VODKA PET,6,1750,7.47,11.21
12,1031100,VODKA,AMERICAN VODKAS,35916,FIVE O'CLOCK VODKA,12,750,3.37,5.06
13,1032200,VODKA,IMPORTED FLAVORED VODKA,34255,EFFEN RASPBERRY,6,750,12.5,18.75
14,1071100,COCKTAIL,COCKTAILS /RTD,58876,JOSE CUERVO GOLDEN MARGARITA,12,750,6.42,9.63
15,1031100,VODKA,AMERICAN VODKAS,37346,PHILLIPS VODKA,12,750,3.57,5.36
16,1031100,VODKA,AMERICAN VODKAS,36306,HAWKEYE VODKA,12,750,3.34,5.01
17,1071100,COCKTAIL,COCKTAILS /RTD,58875,JOSE CUERVO GOLDEN MARGARITA,6,1750,11.04,16.56
18,1011600,WHISKEY,STRAIGHT RYE WHISKIES,18096,EVAN WILLIAMS 1783,12,750,10,15
19,1011200,WHISKEY,STRAIGHT BOURBON WHISKIES,19064,JIM BEAM,24,375,5.5,8.25
20,1062400,RUM,SPICED RUM,43338,CAPTAIN MORGAN SPICED RUM,6,1750,18,27
21,1062400,RUM,SPICED RUM,44658,LADY BLIGH SPICED RUM,6,1750,11,16.5
