Invoice/Item Number,Date,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Store ID,Product ID,Vendor ID,Shipping ID
INV-13905800003,2/1/2018,12,148.56,9,2.37,941,25,5,3111
INV-13894200012,2/1/2018,12,148.56,9,2.37,942,321,5,3119
INV-14093900112,2/1/2018,12,148.56,9,2.37,229,395,5,3205
INV-13725500012,2/1/2018,12,148.56,9,2.37,423,395,5,3299
INV-14321100013,2/1/2018,12,148.56,9,2.37,753,25,5,3384
INV-14286200153,2/1/2018,12,148.56,9,2.37,134,478,5,3460
INV-14644300014,2/1/2018,12,148.56,9,2.37,608,25,5,3551
INV-14382800060,2/1/2018,12,148.56,9,2.37,160,321,5,3728
INV-14451100014,2/1/2018,12,148.56,9,2.37,791,907,5,3753
INV-15166800029,2/1/2018,12,148.56,9,2.37,703,395,5,3975
INV-14749000013,2/1/2018,12,148.56,9,2.37,771,25,5,4141
INV-15736800040,2/1/2018,12,148.56,9,2.37,185,25,5,4277
INV-15564900014,2/1/2018,12,148.56,9,2.37,138,505,5,4402
INV-16114900016,2/1/2018,12,148.56,9,2.37,70,505,5,4756
INV-17213500010,2/1/2018,12,148.56,9,2.37,179,1590,5,5276
INV-17019500011,2/1/2018,12,148.56,9,2.37,312,25,5,5322
INV-16845100008,3/1/2018,12,148.56,9,2.37,855,321,5,5339
INV-17100000166,3/1/2018,12,148.56,9,2.37,249,321,5,5357
INV-17376300215,3/1/2018,12,148.56,9,2.37,158,478,5,5565
INV-17588900035,3/1/2018,12,148.56,9,2.37,248,1553,5,5755
INV-17564100099,3/1/2018,12,148.56,9,2.37,108,907,5,5860
INV-18360700002,3/1/2018,12,148.56,9,2.37,168,395,5,6188
INV-18271000024,3/1/2018,12,148.56,9,2.37,349,907,5,6238
INV-18995900075,3/1/2018,12,148.56,9,2.37,452,1756,5,6533
INV-18972500060,3/1/2018,12,148.56,9,2.37,506,430,5,6581
INV-19633600026,3/1/2018,12,148.56,9,2.37,70,1756,5,6809
INV-19379200057,3/1/2018,12,148.56,9,2.37,6,1756,5,6830
INV-19307600027,3/1/2018,12,148.56,9,2.37,462,767,5,6868
INV-19326200039,3/1/2018,12,148.56,9,2.37,122,478,5,6903
INV-19261900018,3/1/2018,12,148.56,9,2.37,931,25,5,6986
INV-19728500082,3/1/2018,12,148.56,9,2.37,28,415,5,7055
INV-19445500006,3/1/2018,12,148.56,9,2.37,310,25,5,7079
INV-19632000034,3/1/2018,12,148.56,9,2.37,122,321,5,7107
INV-20101300023,3/1/2018,12,148.56,9,2.37,6,321,5,7219
INV-20155500017,3/1/2018,12,148.56,9,2.37,108,323,5,7247
INV-20299900008,3/1/2018,12,148.56,9,2.37,1283,767,5,7353
INV-19771200019,3/1/2018,12,148.56,9,2.37,108,140,5,7364
INV-19770700039,3/1/2018,12,148.56,9,2.37,70,56,5,7406
INV-20140600033,3/1/2018,12,148.56,9,2.37,529,767,5,7429
INV-20113900024,3/1/2018,12,148.56,9,2.37,919,25,5,7515
INV-20559800006,3/1/2018,12,148.56,9,2.37,924,25,5,7598
INV-20808500155,3/1/2018,12,148.56,9,2.37,249,140,5,7639
INV-20344800005,3/1/2018,12,148.56,9,2.37,1065,25,5,7935
INV-20940800007,3/1/2018,12,148.56,9,2.37,826,25,5,7936
INV-20314000006,4/1/2018,12,148.56,9,2.37,538,25,5,7940
INV-20310600094,4/1/2018,12,148.56,9,2.37,9,767,5,7947
INV-21092400006,4/1/2018,12,148.56,9,2.37,1308,395,5,8018
INV-21613000009,4/1/2018,12,148.56,9,2.37,762,25,5,8069
INV-21844100071,4/1/2018,12,148.56,9,2.37,107,140,5,8451
INV-22017200026,4/1/2018,12,148.56,9,2.37,166,321,5,8574
INV-21936800008,4/1/2018,12,148.56,9,2.37,686,395,5,8777
INV-22937100048,4/1/2018,12,148.56,9,2.37,89,430,5,8899
INV-22739900001,4/1/2018,12,148.56,9,2.37,949,907,5,8903
INV-22330800026,4/1/2018,12,148.56,9,2.37,697,907,5,8946
INV-22413900172,4/1/2018,12,148.56,9,2.37,30,321,5,8980
INV-22751200087,4/1/2018,12,148.56,9,2.37,107,907,5,9231
INV-22998300032,4/1/2018,12,148.56,9,2.37,122,907,5,9272
INV-23227800003,4/1/2018,12,148.56,9,2.37,1392,25,5,9334
INV-23368400026,4/1/2018,12,148.56,9,2.37,241,25,5,9338
INV-23548400009,4/1/2018,12,148.56,9,2.37,602,1253,5,9504
INV-23346900039,4/1/2018,12,148.56,9,2.37,770,321,5,9643
INV-23696200072,4/1/2018,12,148.56,9,2.37,333,321,5,9666
INV-23621900016,4/1/2018,12,148.56,9,2.37,108,616,5,9878
INV-24394800022,4/1/2018,12,148.56,9,2.37,134,430,5,10197
INV-25172700023,5/1/2018,12,148.56,9,2.37,770,321,5,10517
INV-24963000132,5/1/2018,12,148.56,9,2.37,85,616,5,10539
INV-25497200027,5/1/2018,12,148.56,9,2.37,89,25,5,10727
INV-25137000059,5/1/2018,12,148.56,9,2.37,434,742,5,10791
INV-25711200075,5/1/2018,12,148.56,9,2.37,160,1590,5,11068
INV-25862500003,5/1/2018,12,148.56,9,2.37,1514,1756,5,11150
INV-25682700030,5/1/2018,12,148.56,9,2.37,632,56,5,11159
INV-26364300153,5/1/2018,12,148.56,9,2.37,68,395,5,11424
INV-27256900014,8/1/2018,12,148.56,9,2.37,820,25,5,12121
INV-27878600014,8/1/2018,12,148.56,9,2.37,1227,25,5,12250
INV-28388100003,8/1/2018,12,148.56,9,2.37,923,25,5,12451
INV-28722500001,8/1/2018,12,148.56,9,2.37,135,767,5,12767
INV-29073300010,8/1/2018,12,148.56,9,2.37,92,321,5,12783
INV-28849400020,8/1/2018,12,148.56,9,2.37,267,1756,5,12870
INV-28548600015,8/1/2018,12,148.56,9,2.37,1609,767,5,12872
INV-28955900033,8/1/2018,12,148.56,9,2.37,400,395,5,12938
INV-29587800014,8/1/2018,12,148.56,9,2.37,908,25,5,13212
INV-29747300024,8/1/2018,12,148.56,9,2.37,1609,25,5,13345
INV-30224200013,8/1/2018,12,148.56,9,2.37,434,1756,5,13500
INV-30269500044,8/1/2018,12,148.56,9,2.37,219,1857,5,13553
INV-30088300022,8/1/2018,12,148.56,9,2.37,374,1590,5,13591
INV-30093600080,8/1/2018,12,148.56,9,2.37,158,25,5,13852
INV-30922400041,8/1/2018,12,148.56,9,2.37,195,25,5,13907
INV-31233000012,8/1/2018,12,148.56,9,2.37,1247,25,5,13944
INV-31239900039,8/1/2018,12,148.56,9,2.37,346,907,5,14155
INV-32224700069,8/1/2018,12,148.56,9,2.37,770,2431,5,14500
INV-32438200032,8/1/2018,12,148.56,9,2.37,48,395,5,14715
INV-33275700068,8/1/2018,12,148.56,9,2.37,333,321,5,15434
INV-35262500011,8/1/2018,12,148.56,9,2.37,1534,742,5,16375
INV-36273000049,8/1/2018,12,148.56,9,2.37,492,430,5,16457
INV-36200900020,8/1/2018,12,148.56,9,2.37,16,767,5,16464
INV-35924700095,8/1/2018,12,148.56,9,2.37,160,3032,5,16542
INV-35838300054,8/1/2018,12,148.56,9,2.37,91,323,5,16695
INV-36996100017,8/1/2018,12,148.56,9,2.37,266,874,5,17001
INV-36557000060,8/1/2018,12,148.56,9,2.37,277,767,5,17073
INV-37150800106,8/1/2018,12,148.56,9,2.37,169,323,5,17348
INV-37073700085,8/1/2018,12,148.56,9,2.37,261,767,5,17407
INV-37191400015,8/1/2018,12,148.56,9,2.37,1640,25,5,17509
INV-38575500062,8/1/2018,12,148.56,9,2.37,785,616,5,17689
INV-38053800036,8/1/2018,12,148.56,9,2.37,344,395,5,17854
INV-38361100294,8/1/2018,12,148.56,9,2.37,31,3174,5,17880
INV-38442500026,8/1/2018,12,148.56,9,2.37,443,907,5,17963
INV-38631200001,8/1/2018,12,148.56,9,2.37,437,25,5,18041
INV-39186100029,8/1/2018,12,148.56,9,2.37,492,478,5,18067
INV-39294900213,8/1/2018,12,148.56,9,2.37,1870,907,5,18122
INV-39172400014,8/1/2018,12,148.56,9,2.37,456,3174,5,18152
INV-40053200097,8/1/2018,12,148.56,9,2.37,377,505,5,18587
INV-40292900002,8/1/2018,12,148.56,9,2.37,1874,395,5,18603
INV-39805800006,9/1/2018,12,148.56,9,2.37,767,25,5,18752
INV-40496000017,9/1/2018,12,148.56,9,2.37,667,321,5,18850
INV-40090200009,9/1/2018,12,148.56,9,2.37,641,25,5,18853
INV-41483900034,9/1/2018,12,148.56,9,2.37,239,321,5,18966
INV-41115000011,9/1/2018,12,148.56,9,2.37,1176,3174,5,19131
INV-41050400093,9/1/2018,12,148.56,9,2.37,338,430,5,19138
INV-40646200003,9/1/2018,12,148.56,9,2.37,756,25,5,19178
INV-41368300005,9/1/2018,12,148.56,9,2.37,668,395,5,19201
INV-41067900017,9/1/2018,12,148.56,9,2.37,420,1161,5,19280
INV-41716600052,9/1/2018,12,148.56,9,2.37,492,56,5,19337
INV-42947400103,9/1/2018,12,148.56,9,2.37,497,742,5,20035
INV-13601900012,9/1/2018,12,163.08,9,2.37,638,185,5,3049
INV-13580600045,9/1/2018,12,163.08,9,2.37,147,732,5,3270
INV-14272200011,9/1/2018,12,163.08,9,2.37,223,732,5,3482
INV-14367000061,9/1/2018,12,163.08,9,2.37,335,732,5,3498
INV-14610200007,9/1/2018,12,163.08,9,2.37,8,185,5,3559
INV-14445500176,9/1/2018,12,163.08,9,2.37,137,732,5,3780
INV-15080700006,9/1/2018,12,163.08,9,2.37,628,732,5,3824
INV-15029000060,9/1/2018,12,163.08,9,2.37,305,185,5,3874
INV-14898100019,9/1/2018,12,163.08,9,2.37,51,185,5,3932
INV-14747300010,9/1/2018,12,163.08,9,2.37,1046,732,5,3982
INV-15949500014,9/1/2018,12,163.08,9,2.37,550,185,5,4342
