Shipping ID,Carrier Code,Carrier Name
1,4,UPS
2,5,Hub Group
3,1,DHL
4,2,FedEX
5,5,Hub Group
6,1,DHL
7,3,ArcBest
8,3,ArcBest
9,5,Hub Group
10,3,ArcBest
11,2,FedEX
12,5,Hub Group
13,5,Hub Group
14,3,ArcBest
15,3,ArcBest
16,5,Hub Group
17,5,Hub Group
18,1,DHL
19,2,FedEX
20,3,ArcBest
21,4,UPS
22,1,DHL
23,2,FedEX
24,3,ArcBest
25,4,UPS
26,5,Hub Group
27,1,DHL
28,5,Hub Group
29,3,ArcBest
30,5,Hub Group
31,1,DHL
32,5,Hub Group
33,4,UPS
34,4,UPS
35,2,FedEX
36,5,Hub Group
37,3,ArcBest
38,2,FedEX
39,1,DHL
40,3,ArcBest
41,1,DHL
42,5,Hub Group
43,4,UPS
44,2,FedEX
45,2,FedEX
46,1,DHL
47,3,ArcBest
48,1,DHL
49,2,FedEX
50,3,ArcBest
51,5,Hub Group
52,4,UPS
53,1,DHL
54,5,Hub Group
55,1,DHL
56,4,UPS
57,4,UPS
58,3,ArcBest
59,5,Hub Group
60,3,ArcBest
61,3,ArcBest
62,1,DHL
63,2,FedEX
64,5,Hub Group
65,3,ArcBest
66,2,FedEX
67,2,FedEX
68,2,FedEX
69,5,Hub Group
70,2,FedEX
71,1,DHL
72,1,DHL
73,3,ArcBest
74,4,UPS
75,2,FedEX
76,4,UPS
77,3,ArcBest
78,3,ArcBest
79,3,ArcBest
80,5,Hub Group
81,3,ArcBest
82,3,ArcBest
83,2,FedEX
84,3,ArcBest
85,4,UPS
86,3,ArcBest
87,5,Hub Group
88,4,UPS
89,3,ArcBest
90,3,ArcBest
91,4,UPS
92,3,ArcBest
93,3,ArcBest
94,4,UPS
95,5,Hub Group
96,3,ArcBest
97,3,ArcBest
98,3,ArcBest
99,3,ArcBest
100,3,ArcBest
101,5,Hub Group
102,3,ArcBest
103,4,UPS
104,5,Hub Group
105,4,UPS
106,3,ArcBest
107,3,ArcBest
108,5,Hub Group
109,3,ArcBest
110,3,ArcBest
111,3,ArcBest
112,4,UPS
113,3,ArcBest
114,4,UPS
115,3,ArcBest
116,3,ArcBest
117,3,ArcBest
118,3,ArcBest
119,3,ArcBest
120,5,Hub Group
121,3,ArcBest
122,3,ArcBest
123,5,Hub Group
124,3,ArcBest
125,3,ArcBest
126,4,UPS
127,3,ArcBest
128,4,UPS
129,3,ArcBest
130,3,ArcBest
131,3,ArcBest
132,3,ArcBest
133,3,ArcBest
134,3,ArcBest
135,3,ArcBest
136,3,ArcBest
137,3,ArcBest
138,3,ArcBest
139,3,ArcBest
140,4,UPS
141,5,Hub Group
142,3,ArcBest
143,3,ArcBest
144,4,UPS
145,2,FedEX
146,3,ArcBest
147,4,UPS
148,3,ArcBest
149,5,Hub Group
150,3,ArcBest
151,4,UPS
152,3,ArcBest
153,3,ArcBest
154,2,FedEX
155,3,ArcBest
156,3,ArcBest
157,4,UPS
158,4,UPS
159,3,ArcBest
160,5,Hub Group
161,3,ArcBest
162,4,UPS
163,3,ArcBest
164,3,ArcBest
165,4,UPS
166,2,FedEX
