Shipping ID,Shipping Type,Shipping Class
1,Premium,1st class
2,Exclusive,2nd class
3,Premium,1st class
4,Exclusive,2nd class
5,Standard,3rd class
6,Exclusive,2nd class
7,Exclusive,2nd class
8,Premium,1st class
9,Standard,3rd class
10,Exclusive,2nd class
11,Exclusive,2nd class
12,Exclusive,2nd class
13,Exclusive,2nd class
14,Standard,3rd class
15,Exclusive,2nd class
16,Exclusive,2nd class
17,Premium,1st class
18,Exclusive,2nd class
19,Exclusive,2nd class
20,Exclusive,2nd class
21,Standard,3rd class
22,Premium,1st class
23,Standard,3rd class
24,Premium,1st class
25,Premium,1st class
26,Premium,1st class
27,Exclusive,2nd class
28,Standard,3rd class
29,Standard,3rd class
30,Standard,3rd class
31,Premium,1st class
32,Standard,3rd class
33,Exclusive,2nd class
34,Exclusive,2nd class
35,Standard,3rd class
36,Premium,1st class
37,Exclusive,2nd class
38,Exclusive,2nd class
39,Standard,3rd class
40,Premium,1st class
41,Exclusive,2nd class
42,Premium,1st class
43,Exclusive,2nd class
44,Standard,3rd class
45,Standard,3rd class
46,Premium,1st class
47,Standard,3rd class
48,Standard,3rd class
49,Exclusive,2nd class
50,Standard,3rd class
51,Premium,1st class
52,Exclusive,2nd class
53,Standard,3rd class
54,Standard,3rd class
55,Standard,3rd class
56,Standard,3rd class
57,Exclusive,2nd class
58,Exclusive,2nd class
59,Standard,3rd class
60,Standard,3rd class
61,Exclusive,2nd class
62,Standard,3rd class
63,Standard,3rd class
64,Standard,3rd class
65,Standard,3rd class
66,Exclusive,2nd class
67,Standard,3rd class
68,Standard,3rd class
69,Standard,3rd class
70,Standard,3rd class
71,Exclusive,2nd class
72,Standard,3rd class
73,Standard,3rd class
74,Standard,3rd class
75,Exclusive,2nd class
76,Standard,3rd class
77,Standard,3rd class
78,Standard,3rd class
79,Standard,3rd class
80,Standard,3rd class
81,Standard,3rd class
82,Exclusive,2nd class
83,Exclusive,2nd class
84,Standard,3rd class
85,Standard,3rd class
86,Exclusive,2nd class
