26,2518,HY-VEE WINE AND SPIRITS / RED OAK,1607 NORTH BROADWAY,RED OAK,51566,POINT (-95.83539 41.279189),69,MONTGOMERY
27,3715,KIMBERLY MART / DAVENPORT,1714 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.550657 41.556966),82,SCOTT
28,2624,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,POINT (-90.741064 42.516633),31,DUBUQUE
29,2671,HY-VEE  /  JEFFERSON,106  W WASHINGTON ST,JEFFERSON,50129,POINT (-94.375508 42.017267),37,GREENE
30,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773557 41.561197),77,POLK
31,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,POINT (-92.435236 42.512789),7,BLACK HAWK
32,4482,INDY 66 WEST #929 / INDIANOLA,2001 W 2ND AVE,INDIANOLA,50125,POINT (-93.58762800000001 41.356153),91,WARREN
33,2591,HY-VEE WINE AND SPIRITS / ATLANTIC,1602 E 7TH ST,ATLANTIC,50022,POINT (-94.990031 41.403856),15,CASS
34,2571,HY-VEE FOOD STORE #2 / WATERLOO,2181 LOGAN AVE,WATERLOO,50703,POINT (-92.337583 42.530476),7,BLACK HAWK
35,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POINT (-93.465301 41.644041),77,POLK
36,3896,SMOKIN' JOE'S #18 TOBACCO AND LIQUOR OUTLET,1901 BROADWAY ST,IOWA CITY,52240,POINT (-91.520308 41.641383),52,JOHNSON
37,2529,HY-VEE DRUGSTORE #4 / CEDAR RAPIDS,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,POINT (-91.73337 41.968343),57,LINN
38,5254,DISCOUNT LIQUOR,2933 1ST AVE SE,CEDAR RAPIDS,52402,POINT (-91.63487100000002 42.007104),57,LINN
39,5207,JIM'S FOODS  /  CEDAR RAPIDS,812  SIXTH  ST SW,CEDAR RAPIDS,52404,POINT (-91.67707300000001 41.968016000000006),57,LINN
40,3542,CHUCK'S SPORTSMANS BEVERAGE,244 W 4TH ST,ST ANSGAR,50472,POINT (-92.921298 43.378499),66,MITCHELL
41,5487,INDEPENDENCE LIQUOR & FOOD,1761 INDEPENDENCE AVE,WATERLOO,50707,POINT (-92.302514 42.498404),7,BLACK HAWK
42,2248,INGERSOLL LIQUOR AND BEVERAGE,3500 INGERSOLL AVE,DES MOINES,50312,POINT (-93.664182 41.586319),77,POLK
43,5230,POINT LIQUOR & TOBACCO,3221  CENTER POINT RD NE,CEDAR RAPIDS,52402,POINT (-91.663629 42.01133),57,LINN
44,5124,PRICE CHOPPER  /  JOHNSTON,5440 NW  86TH ST,JOHNSTON,50131,POINT (-93.738772 41.65919800000001),77,POLK
45,2653,HY-VEE WINE AND SPIRITS / WASHINGTON,1004 W MADISON ST,WASHINGTON,52353,POINT (-91.704567 41.296576),92,WASHINGTON
46,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,POINT (-92.899277 41.396961000000005),63,MARION
47,2538,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,POINT (-92.327917 42.459938),7,BLACK HAWK
48,2569,HY-VEE FOOD STORE #2 / CEDAR RAPIDS,279 COLLINS ROAD NE,CEDAR RAPIDS,52402,POINT (-91.630677 42.027805),57,LINN
49,5357,GAMEDAY LIQUOR/ ORANGE CITY,632 8TH ST. SE,ORANGE CITY,51041,POINT (-96.051138 42.99748400000001),84,SIOUX
50,5068,TOBACCO SHOP / ARNOLDS PARK,612 S HIGHWAY 71,ARNOLDS PARK,51331,POINT (-95.14027400000002 43.361577),30,DICKINSON
51,2506,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,DES MOINES
52,3612,B AND C LIQUOR / MAQUOKETA,509 E PLATT,MAQUOKETA,52060,POINT (-90.659692 42.06922000000001),49,JACKSON
53,2191,KEOKUK SPIRITS,1013 MAIN,KEOKUK,52632,POINT (-91.387797 40.400038),56,LEE
54,4251,AJ'S LIQUOR / AMES,4518 MORTENSON RD STE 109,AMES,50014,,85,STORY
55,5125,CASH SAVER  /  E EUCLID AVE,1320 E  EUCLID AVE,DES MOINES,50316,POINT (-93.602851 41.627778),77,POLK
56,3762,WINE AND SPIRITS GALLERY,7690 HICKMAN RD,WINDSOR HEIGHTS,50322,,77,POLK
57,3525,WINES AND SPIRITS,106 W 2ND ST,WASHINGTON,52353,POINT (-91.692214 41.300399),92,WASHINGTON
58,3477,SAM'S CLUB 6472 / COUNCIL BLUFFS,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,51501,POINT (-95.847163 41.225208),78,POTTAWATTA
59,5001,THE MUSIC STATION / INDEPENDENCE,709 FIRST ST W,INDEPENDENCE,50644,POINT (-91.901687 42.468633),10,BUCHANAN
60,3648,FAIRBANK FOOD CENTER,102  4TH ST NORTH BOX 434,FAIRBANK,50629,POINT (-92.047352 42.639631),10,BUCHANAN
61,4885,SNK GAS & FOOD LLC,18820  BELLEVUE CASCADE RD,ZWINGLE,52079,POINT (-90.676817 42.240381),49,JACKSON
62,4155,FAREWAY STORES #949 / MARION,3300 10TH AVE,MARION,52302,POINT (-91.576523 42.036023),57,LINN
63,4091,FAREWAY STORES #705 / CLEAR LAKE,910 HWY 18 W,CLEAR LAKE,50428,POINT (-93.613385 43.105949),17,CERRO GORD
64,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT (-90.483701 41.552338),82,SCOTT
65,3944,SAM'S CLUB 4973 / DUBUQUE,4400 ASBURY RD,DUBUQUE,52002,POINT (-90.737821 42.515289),31,DUBUQUE
66,5443,1ST STOP BEVERAGE SHOP,2839 EAST UNIVERSITY AVE.,DES MOINES,50317,POINT (-93.561517 41.600476),77,POLK
67,5518,FARM FRESH FOODTOWN & LIQUOR,306 S WASHINGTON ST,REMSEN,51050,POINT (-95.973352 42.813338),75,PLYMOUTH
68,3820,CHARLIE'S WINE AND SPIRITS ,507 W 19TH ST,SIOUX CITY,51103,POINT (-96.420193 42.510535),97,WOODBURY
69,5427,BEECHER LIQUOR,1691 ASBURY RD,DUBUQUE,52001,POINT (-90.696886 42.500775000000004),31,DUBUQUE
70,3776,WAL-MART 5115 / DAVENPORT,3101 WEST KIMBERLY RD,DAVENPORT,52806,POINT (-90.620069 41.559268),82,SCOTT
71,3592,WAL-MART 0886 / FORT DODGE,3036 1ST AVE SOUTH,FORT DODGE,50501,POINT (-94.153456 42.505334),42,HARDIN
72,3744,PAYLESS FOODS / DYERSVILLE,733 16TH AVE SE,DYERSVILLE,52040,POINT (-91.115769 42.470204),31,DUBUQUE
73,4908,ZAPF'S PRONTO MARKET,107 1ST ST SW,ELKADER,52043,POINT (-91.405293 42.85389),22,CLAYTON
74,4319,FAREWAY STORES #703 / HUMBOLT,1700 10TH AVENUE N,HUMBOLDT,50548,POINT (-94.233695 42.731879),46,HUMBOLDT
75,5021,KUM & GO #608 / OKOBOJI,1001 SANBORN AVE,OKOBOJI,51355,POINT (-95.129128 43.382148),30,DICKINSON
76,4927,KUM & GO #576 / WEST DES MOINES,3501 EP TRUE PKWY,WEST DES MOINES,50265,POINT (-93.752572 41.570151),77,POLK
77,4184,FAREWAY STORES #998 / MUSCATINE,2100 CEDAR PLAZA DR,MUSCATINE,52761,POINT (-91.08192400000001 41.435264),70,MUSCATINE
78,4900,KWIK STOP 4 / WATERLOO,515 BROADWAY ST,WATERLOO,50703,POINT (-92.345106 42.510792),7,BLACK HAWK
79,4935,ALI'S LIQUOR,1117 E 4TH ST,WATERLOO,50703,POINT (-92.332774 42.507683),7,BLACK HAWK
80,2565,HY-VEE FOOD STORE / SPENCER,819 N GRAND AVE,SPENCER,51301,POINT (-95.14506 43.145897),21,CLAY
81,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE
82,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,SCOTT
83,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),9,BREMER
84,3678,SMOKE SHOP  THE,1918 SE 14TH ST,DES MOINES,50320,POINT (-93.597011 41.570844),77,POLK
85,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,POLK
86,5402,CITY LIQUOR,425 S GILBERT STREET,IOWA CITY,52240,POINT (-91.530225 41.656031),52,JOHNSON
87,2113,JAMBOREE FOODS,1119 MARKET ST. BOX 71,GOWRIE,50543,POINT (-94.289457 42.28057),94,WEBSTER
88,4129,CYCLONE LIQUORS,626 LINCOLN WAY,AMES,50010,POINT (-93.618911 42.022854),85,STORY
89,4015,WAL-MART 0749 / AMES,3015 GRAND AVE,AMES,50010,POINT (-93.62068300000001 42.05242),85,STORY
90,5314,TOBACCO HUT & LIQUOR,3134 MANAWA CENTER DR. # 9,COUNCIL BLUFFS,51501,POINT (-95.847514 41.228712),78,POTTAWATTA
91,2106,HILLSTREET NEWS AND TOBACCO,2217 COLLEGE,CEDAR FALLS,50613,POINT (-92.455796 42.517182),7,BLACK HAWK
92,3707,TARGET STORE T-1768 / CEDAR RAPIDS,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.649625 42.035157),57,LINN
93,2604,HY-VEE WINE AND SPIRITS / LEMARS,1201 12TH AVE SW,LEMARS,51031,POINT (-96.18335000000002 42.778257),75,PLYMOUTH
94,5476,ELDRIDGE MART,209 E LECLAIRE RD,ELDRIDGE,52748,POINT (-90.58154 41.654676),82,SCOTT
95,4377,QUIK TRIP #562 / NE 14TH / DSM,4801 NE 14TH ST,DES MOINES,50313,POINT (-93.600266 41.648602),77,POLK
96,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049,,59,LUCAS
97,2130,SYCAMORE CONVENIENCE,617 SYCAMORE,WATERLOO,50703,POINT (-92.335358 42.497854),7,BLACK HAWK
98,5520,RIVERSIDE TRAVEL MART,3070 HWY 22 E,RIVERSIDE,52327,POINT (-91.546885 41.488516),92,WASHINGTON
99,4062,H AND A MINI MART CORP,145 UNIVERSITY AVE,DES MOINES,50314,POINT (-93.61947 41.600419),77,POLK
100,5101,NEW STAR  /  FLETCHER AVE,315 FLETCHER AVE,WATERLOO,50701,POINT (-92.367142 42.489119),7,BLACK HAWK
101,4535,CASEY'S GENERAL STORE #2421 / DUBUQUE,4003 PERU RD,DUBUQUE,52001,POINT (-90.676071 42.539271),31,DUBUQUE
102,3670,WAL-MART 2827 / CORALVILLE,2801 COMMERCE DR,CORALVILLE,52241,POINT (-91.610774 41.695806),52,JOHNSON
103,3987,WINE AND SPIRITS SHOPPE OF,111 S PHILLIPS ST,ALGONA,50511,POINT (-94.226874 43.068382),55,KOSSUTH
104,5348,SUPER LUCKY  INC,806 W MAIN ST.,LE GRAND,50142,POINT (-92.78465400000002 42.006665),64,MARSHALL
105,3912,SMOKIN' JOE'S #14 TOBACCO AND LIQUOR OUTLET,225 EDGEWOOD RD,CEDAR RAPIDS,52405,,57,LINN
106,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT (-93.519187 41.598109),77,POLK
107,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503,POINT (-95.836515 41.270824),78,POTTAWATTA
108,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,POLK
109,2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,POINT (-91.668909 42.034799),57,LINN
110,5425,SPIRITS LIQUOR,109 E 1ST ST. # B,GRIMES,50111,POINT (-93.793812 41.68840000000001),77,POLK
111,4411,KUM & GO #95 / DE SOTO,1203 GUTHRIE ST,DE SOTO,50069,POINT (-94.012641 41.538192),25,DALLAS
112,4285,FAREWAY STORES #922 / NEW HAMPTON,102 S WATER AVE,NEW HAMPTON,50659,POINT (-92.312904 43.058019),19,CHICKASAW
113,4010,NEWMAN'S THRIFTWAY,900 S LOCUST ST,GLENWOOD,51534,POINT (-95.745944 41.038205),65,MILLS
114,5236,GIGGLE JUICE LIQUOR STATION  LLC,600 W MAIN ST,ANAMOSA,52205,POINT (-91.29083400000002 42.108203),53,JONES
115,4705,WALGREENS #05977 / CORALVILLE,102 SECOND ST,CORALVILLE,52241,POINT (-91.566343 41.669266),52,JOHNSON
116,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,POINT (-96.364108 42.487752),97,WOODBURY
117,3920,SMOKIN' JOE'S #11 TOBACCO AND LIQUOR OUTLET,1606 CAMANCHE AVE,CLINTON,52732,POINT (-90.204748 41.827845),23,CLINTON
118,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023,POINT (-93.621824 41.705188),77,POLK
119,3695,MRS. B'S LIQUOR,623 S MARION ST,REMSEN,51050,POINT (-95.977022 42.808951),75,PLYMOUTH
120,4255,FAREWAY STORES #058 / ORANGE CITY,512  8TH SE,ORANGE CITY,51041,,84,SIOUX
121,4011,JIM AND CHARLIES AFFILIATED,121 NORTH CLINTON,ALBIA,52531,POINT (-92.808389 41.028644),68,MONROE
122,3618,WAL-MART 2716 / CEDAR RAPIDS,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.718042 41.949215),57,LINN
123,4588,SAM'S MINI MART / SIOUX CITY,923 W 7TH ST,SIOUX CITY,51103,POINT (-96.419074 42.503495),97,WOODBURY
124,2660,HY-VEE FOOD STORE / SIOUX CENTER,1951 S MAIN AVE,SIOUX CENTER,51250,POINT (-96.175695 43.056471),84,SIOUX
125,3841,HARTIG DRUG COMPANY #2 / LOCUST,157 LOCUST ST,DUBUQUE,52001,POINT (-90.665439 42.495308),31,DUBUQUE
126,4474,BUCKY'S EXPRESS #34 / COUNCIL BLUFFS,3501 W BROADWAY ST,COUNCIL BLUFFS,51501,POINT (-95.902733 41.26191600000001),78,POTTAWATTA
127,5470,SUPER SAVER LIQUOR OF MUSCATINE,1510 A ISETT AVE,MUSCATINE,52761,POINT (-91.042755 41.440327),70,MUSCATINE
128,5331,CASEY'S GENERAL STORE # 1536/ GEORGE,301 E MICHIGAN AVE,GEORGE,51237,POINT (-95.998 43.343639),60,LYON
129,4604,PIT STOP LIQUORS / NEWTON,1324  1ST AVE E,NEWTON,50208,POINT (-93.035654 41.699173),50,JASPER
130,3723,J D SPIRITS LIQUOR,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67,MONONA
131,4947,THE MUSIC STATION,1420 W FIRST ST,CEDAR FALLS,50647,POINT (-92.462826 42.537839),7,BLACK HAWK
132,5423,STAMMER LIQUOR CORP,615 2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71,OBRIEN
133,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,POINT (-90.513769 41.574973),82,SCOTT
134,2544,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,MARSHALL
135,4725,CASEY'S GENERAL STORE #1548 / ANKENY,2905 W  1ST ST,ANKENY,50023,POINT (-93.638498 41.731708),77,POLK
136,4326,STRATFORD FOOD CENTER,829 SHAKESPEARE AVE,STRATFORD,50249,POINT (-93.92715 42.271302),40,HAMILTON
137,2602,HY-VEE FOOD STORE / WEBSTER CITY,823  2ND ST,WEBSTER CITY,50595,POINT (-93.825486 42.469466),40,HAMILTON
138,3757,WAL-MART 3590 / SIOUX CITY,3101 FLOYD BLVD,SIOUX CITY,51108,POINT (-96.37287 42.530454),97,WOODBURY
139,4299,HOMETOWN MARKET / CENTRAL CITY,9 WATERHOUSE AVE,CENTRAL CITY,52214,POINT (-91.530478 42.199296),57,LINN
140,2650,HY-VEE WINE AND SPIRITS / HARLAN,1808 23RD ST,HARLAN,51537,POINT (-95.339881 41.650658),83,SHELBY
141,5067,ONE STOP LIQUOR,1101  N  LAKE AVE,STORM LAKE,50588,POINT (-95.200761 42.651369),11,BUENA VIST
142,5504,NEIGHBORHOOD MART,2102 LAFAYETTE ST,WATERLOO,50703,POINT (-92.313923 42.489893),7,BLACK HAWK
143,5280,YESWAY STORE # 10011/ MASON CITY,1920 FEDERAL AVE S,MASON CITY,50401,POINT (-93.201072 43.133204),17,CERRO GORD
144,4509,AJ'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,STORY
145,4051,FAREWAY STORES #639 / MAQUOKETA,110 WESTGATE DR,MAQUOKETA,52060,POINT (-90.680623 42.067391),49,JACKSON
146,4938,PRONTO MARKET,201 S MAIN ST,HAZLETON,50641,POINT (-91.905522 42.615596),10,BUCHANAN
147,2522,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360,,30,DICKINSON
148,4000,FOODLAND SUPER MARKETS / WOODBINE,,,,,,
149,2564,HY-VEE FOOD STORE #4 / WATERLOO,4000 UNIVERSITY,WATERLOO,50701,POINT (-92.403843 42.505197),7,BLACK HAWK
150,5384,CASEY'S GENERAL STORE # 2698/ PERRY,1308 1ST STREET,PERRY,50220,POINT (-94.196008 41.595366),25,DALLAS
151,5356,CASEY'S GENERAL STORE # 3561/ CEDAR RAPIDS,1532 ELLIS BLVD NW,CEDAR RAPIDS,52405,POINT (-91.682151 41.988646),57,LINN
152,4577,CASEY'S GENERAL STORE #2551 / WOODWARD,906  S MAIN ST,WOODWARD,50276,POINT (-93.9222 41.848949),25,DALLAS
153,5395,YESWAY STORE #1037/ GRIMES,1905 SE 37TH STREET,GRIMES,50111,POINT (-93.773947 41.658535),77,POLK
154,2625,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,,82,SCOTT
155,4613,SPARKY'S ONE STOP / CARROLL,402 E 6TH ST,CARROLL,51401,POINT (-94.862532 42.064428),14,CARROLL
156,3420,SAM'S CLUB 6344 / WINDSOR HEIGHTS,,,,,,
157,4598,QUIK TRIP #501 / E EUCLID DM,2221 E EUCLID AVE,DES MOINES,50317,POINT (-93.577655 41.627702000000006),77,POLK
158,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,,85,STORY
159,4910,PRIME MART #3 / WATERLOO,1008 LAPORTE RD,WATERLOO,50702,POINT (-92.322988 42.47658),7,BLACK HAWK
160,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON
161,4296,CIRCLE B MARKET,111 MAIN ST,KEOSAUQUA,52565,POINT (-91.962466 40.7294),89,VAN BUREN
162,3735,C B LIQUOR,1202 A AVE EAST,OSKALOOSA,52577,POINT (-92.631487 41.296286),10,BUCHANAN
163,5255,WHOLE FOODS MARKET,4100 UNIVERSITY AVE,WEST DES MOINES,50266,POINT (-93.759736 41.600394),77,POLK
164,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,LINN
165,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57,LINN
166,3713,WAL-MART 0810 / MASON CITY,4151  4TH ST SW,MASON CITY,50401,POINT (-93.261648 43.148239),17,CERRO GORD
167,5259,GAMEDAY LIQUOR,924 LOCUST ST,GLENWOOD,51534,POINT (-95.916235 41.284951),65,MILLS
168,5409,CASEY'S GENERAL STORE # 2179/ WAUKEE,1995 SE UNIVERSITY,WAUKEE,50263,POINT (-93.837201 41.600414),25,DALLAS
169,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,POLK
170,3549,QUICKER LIQUOR STORE,1414 48TH ST,FORT MADISON,52627,POINT (-91.373211 40.62422600000001),56,LEE
171,5147,VICTOR'S MARKET,1001 3RD  ST,VICTOR,52347,POINT (-92.301206 41.730666),79,POWESHIEK
172,2649,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,POINT (-90.666497 42.49721900000001),31,DUBUQUE
173,5167,NEW STAR LIQUOR & TOBACCO  / FT DODG,1724 5TH  AVE S,FORT DODGE,50501,POINT (-94.173816 42.501131),94,WEBSTER
174,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT (-91.701581 42.030129),57,LINN
175,4752,GASLAND / BURLINGTON,1003 SUMMER ST,BURLINGTON,52655,,29,DES MOINES
176,4148,FAREWAY STORES #479 / INDEPENDENCE,1400 3RD AVE SE,INDEPENDENCE,50644,POINT (-91.890284 42.455804),10,BUCHANAN
177,4258,FAREWAY STORES #009 / BURLINGTON,920 LAWRENCE DR,BURLINGTON,52601,POINT (-91.140051 40.799097),29,DES MOINES
178,4277,CORK IT!,769 PROSPECT ST SW,LE MARS,51031,POINT (-96.178219 42.776296),75,PLYMOUTH
179,5527,LIQUOR DOWNTOWN,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,JOHNSON
180,5416,DEPOT LIQUOR & GROCERY,114 N CENTER ST.,MARSHALLTOWN,50158,POINT (-92.912975 42.051619),64,MARSHALL
181,5514,JOHNCY'S LIQUOR STORE,585 HWY 965 STE D & E,NORTH LIBERTY,52317,POINT (-91.60761 41.738129),52,JOHNSON
182,4602,CHEAP SMOKES / BEER CITY,58231 190TH ST,PACIFIC JUNCTION,51561,POINT (-95.822983 41.041739),65,MILLS
183,3562,WAL-MART 0797 / W BURLINGTON,324 WEST AGENCY RD,WEST BURLINGTON,52655,POINT (-91.158407 40.813125),29,DES MOINES
184,4320,FAREWAY STORES #470 / PERRY,1315 WILLIS AVE,PERRY,50220,POINT (-94.103123 41.838522),8,BOONE
185,4140,FAREWAY STORES #900 / EUCLID,100 EUCLID AVE,DES MOINES,50313,POINT (-93.618724 41.627684),77,POLK
186,4904,LARCHWOOD QUICK STOP,832 BROADWAY ST,LARCHWOOD,51241,POINT (-96.43415 43.45255),60,LYON
187,3928,SMOKIN' JOE'S #12 TOBACCO AND LIQUOR OUTLET,465 HWY 965 UNIT G,NORTH LIBERTY,52317,POINT (-91.60759 41.739524),52,JOHNSON
188,5098,BEST FOOD MART 3  LLC,1621 UNIVERSITY AVE,DES MOINES,50311,,77,POLK
189,4118,LAKE VIEW REDEMPTION CENTER,502 5TH STREET,LAKE VIEW,51450,POINT (-95.051539 42.307764000000006),81,SAC
190,5215,CODY MART,1220  N CODY RD,LE CLAIRE,52753,POINT (-90.34429 41.611036),82,SCOTT
191,4967,JEFF'S MARKET / BLUE GRASS,102  W MAYNE ST,BLUE GRASS,52726,POINT (-90.766126 41.509119),82,SCOTT
192,2584,HY-VEE FOOD STORE / FORT MADISON,2606 AVENUE L,FORT MADISON,52627,POINT (-91.343544 40.626988),56,LEE
193,2509,HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,1520 6TH ST SW,CEDAR RAPIDS,52404,POINT (-91.67706 41.962419),57,LINN
194,5235,KUM & GO #540 / WAUKEE,3105 GRAND PRAIRIE PKWY,WAUKEE,50263,POINT (-93.85358 41.574209),25,DALLAS
195,2552,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT (-91.658577 41.955859),57,LINN
196,5362,CROSSROADS WINE & SPIRITS LLC,117 IOWA AVE,DUNLAP,51529,POINT (-95.602969 41.854728),43,HARRISON
197,3808,THRIFTWAY,300  4TH ST,LA PORTE CITY,50651,POINT (-92.190813 42.316243),7,BLACK HAWK
198,4757,EZ MART / BONDURANT,1111 SE LINCOLN ST,BONDURANT,50035,POINT (-93.457069 41.692534),77,POLK
199,5352,CASEY'S GENERAL STORE # 3565/ TRIPOLI,600 7TH AVE,TRIPOLI,50676,,9,BREMER
200,5210,DING'S HONK'N HOLLER,900  E  WASHINGTON  ST,CLARINDA,51632,POINT (-95.027238 40.739231),73,PAGE
201,5007,BROTHER'S MARKET / DENVER,1022 SKYLAR ST,DENVER,50622,POINT (-92.336297 42.66167),9,BREMER
202,5403,GOLDEN MART,1026 W RIVER DRIVE,DAVENPORT,52802,POINT (-90.588375 41.520158),82,SCOTT
203,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,LINN
204,3563,WAL-MART 0559 / MUSCATINE,3003 NORTH HWY 61,MUSCATINE,52761,POINT (-91.025913 41.45529),70,MUSCATINE
205,4735,WALGREENS #01301 / OTTUMWA,327 W 4TH ST,OTTUMWA,52501,POINT (-92.413688 41.021787),90,WAPELLO
206,3403,ECON-O-MART / COLUMBUS JUNCTION,103 WALNUT ST. E,COLUMBUS JUNCTION,52738,POINT (-91.359363 41.280107),58,LOUISA
